标题,总价,单价,面积,户型,楼层,建成年份,小区,区域,标签,链接,关注人数,发布时间
"龙湖小区，朝南安静，出行方便，生活便利","150万","14,702元/平","102.03平米","3室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满两年;VR看装修","https://cq.ke.com/ershoufang/106118319836.html","85人关注","1年前发布"
"精装修，外出公交地铁便利，配套大型广场和公园","150万","13,954元/平","107.5平米","3室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106115564780.html","7人关注","1年前发布"
"江与城景上时光  精装3房 未住过人","145万","14,211元/平","102.04平米","3室2厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106107576174.html","24人关注","4年前发布"
"龙湖品质 楼层好 配套成熟 轻轨公交齐全","120万","11,010元/平","109平米","3室1厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106123542532.html","2人关注","1月前发布"
"龙湖品质 楼层好 配套成熟 购物方便 轻轨公交齐全","105万","9,814元/平","107平米","3室1厅","低楼层                                     (共34层)","2010年","江与城","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106123369091.html","19人关注","2月前发布"
"轻轨站旁，龙湖品质三房，配套成熟，业主诚心出售","120万","11,129元/平","107.83平米","3室2厅","高楼层                                     (共34层)","2010年","江与城","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106120478865.html","16人关注","10月前发布"
"龙湖三房  视野开阔 户型方正","110万","10,324元/平","106.55平米","3室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106119354504.html","100人关注","1年前发布"
"江与城 3室1厅 东南","160万","14,662元/平","109.13平米","3室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106122689530.html","1人关注","3月前发布"
"龙湖江与城品质精装修3房 户型好 高楼层 视野开阔","160万","14,954元/平","107平米","3室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106122029170.html","0人关注","5月前发布"
"轻轨站旁，龙湖品质精装三房，带露台，业主诚心出售","159万","14,528元/平","109.45平米","3室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106119990693.html","1人关注","11月前发布"
"江与城龙湖成熟社区，配套齐，装修保养好，拎包入住！","165万","16,177元/平","102平米","3室2厅","中楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106117404192.html","18人关注","1年前发布"
"龙湖品质3房，户型方正，视野开阔，采光好","170万","16,667元/平","102平米","3室1厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106117247889.html","7人关注","1年前发布"
"精装三房，看江视野开阔无遮挡，业主诚心","163万","14,893元/平","109.45平米","3室2厅","高楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106116755640.html","3人关注","1年前发布"
"精装修 出入方便 配套齐全 离轻轨近 龙湖大盘","165万","16,177元/平","102平米","3室1厅","低楼层                                     (共33层)","2010年","江与城","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106105149993.html","19人关注","5年前发布"
"天元道次新 视野无对视 三房双卫","140万","12,904元/平","108.5平米","3室1厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106123652785.html","0人关注","1月前发布"
"金科次新小区、标准三房双卫端头户型，高楼层视野开阔","138万","12,910元/平","106.9平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106122666392.html","0人关注","3月前发布"
"大竹林金科品质小区  正规三房双卫 视野好 可看江","130万","12,038元/平","108平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106122052827.html","2人关注","5月前发布"
"次新小区，洋房环境品质高层，朝中庭，安静","123万","13,202元/平","93.17平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106121974980.html","1人关注","5月前发布"
"金科品质小区，清水大三房， 户型采光比较好","140万","12,865元/平","108.83平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106121868209.html","0人关注","5月前发布"
"一线看江   无任何遮挡  视野开阔","130万","13,996元/平","92.89平米","3室1厅","高楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR房源","https://cq.ke.com/ershoufang/106121864537.html","3人关注","5月前发布"
"金科物业清水看江清水三房安静舒适","135万","12,386元/平","109平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106121637669.html","4人关注","6月前发布"
"金科物业  三房近轻轨，近公园，视野开阔","128万","11,762元/平","108.83平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106121564690.html","4人关注","6月前发布"
"金科天元道砚北B组团精装大三房","149万","15,921元/平","93.59平米","3室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106121538720.html","2人关注","6月前发布"
"近轻轨 次新 金科  定制卧柜  保养新","134.9万","12,328元/平","109.43平米","3室2厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106121411977.html","13人关注","7月前发布"
"金科次新小区，朝南 视野开阔 安静 近公园地铁","128万","13,430元/平","95.31平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106121314593.html","15人关注","7月前发布"
"6号线金科品质 精装修 视野无遮挡","136万","12,429元/平","109.43平米","3室1厅","中楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106120649912.html","34人关注","9月前发布"
"金科品质小区，洋房高层一个小区， 户型采光比较好","145万","13,365元/平","108.5平米","3室2厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106120142196.html","1人关注","11月前发布"
"装修带地暖，安静不吵，业主诚信出售","145万","15,538元/平","93.32平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106119957468.html","4人关注","11月前发布"
"业主自住精装房 保持新 诚心出售 采光好 价格带车位","145万","15,538元/平","93.32平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满两年;VR看装修","https://cq.ke.com/ershoufang/106119792207.html","40人关注","1年前发布"
"金科天元道清水高层 中间楼层 安静住家","125万","11,468元/平","109平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119711289.html","16人关注","1年前发布"
"金科品质，户型方正、采光好、居住安静，业主诚心出售","145万","15,538元/平","93.32平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119579931.html","1人关注","1年前发布"
"视野无遮挡 清水房，标准的三房两卫的户型","125万","11,468元/平","109平米","3室1厅","高楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106119436897.html","62人关注","1年前发布"
"此房未装修，空置四年，清水毛坯 任你设计","143万","15,350元/平","93.16平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106119262601.html","0人关注","1年前发布"
"金科打造，品质保证，户型方正,中间楼层，采光好","145万","15,214元/平","95.31平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106119201546.html","0人关注","1年前发布"
"金科品质大盘，户型方正，住家安静，看房方便","140万","12,845元/平","109平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106119006119.html","2人关注","1年前发布"
"中高楼层，看江视野好，业主稳定诚心出售","145万","13,426元/平","108平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106118360657.html","1人关注","1年前发布"
"精装修轻轨房，拎包入住，正规三房","128万","13,430元/平","95.31平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106118059308.html","12人关注","1年前发布"
"大竹林 精装30多万小三房，近轻轨，近公园，次新房","129万","13,824元/平","93.32平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106118052394.html","71人关注","1年前发布"
"金科次新小区 正规3房2卫  近轻轨近公园 诚心卖","145万","13,426元/平","108平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117938882.html","4人关注","1年前发布"
"金科品质，次新小区，近公园，临地铁","150万","13,783元/平","108.83平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117917609.html","22人关注","1年前发布"
"轻轨房金科天元道砚北B组团3室2厅1厨1卫","130万","13,640元/平","95.31平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117764744.html","23人关注","1年前发布"
"金科次新小区，精装3房，近公园，享洋房 诚心卖","131万","13,745元/平","95.31平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106117760725.html","8人关注","1年前发布"
"采光好户型方正，交通方便，距离轻轨站近","150万","13,762元/平","109平米","3室1厅","高楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源","https://cq.ke.com/ershoufang/106117559937.html","1人关注","1年前发布"
"此房开发商精装，业主置办家具家电，业主安心卖","145万","13,251元/平","109.43平米","3室1厅","高楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117355871.html","8人关注","1年前发布"
"金科品质小区，精装修家具家电齐全，视野开阔","133万","13,955元/平","95.31平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106117009331.html","38人关注","1年前发布"
"户型方正,中间楼层，采光好,精装修。","136万","14,270元/平","95.31平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106116942352.html","6人关注","1年前发布"
"视野好，视野开阔， 户型方正    次新小区","129万","13,846元/平","93.17平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106116271760.html","2人关注","1年前发布"
"轻轨房金科天元道砚北B组团3室1厅1厨1卫","150万","15,704元/平","95.52平米","3室1厅","低楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR房源;随时看房","https://cq.ke.com/ershoufang/106115925179.html","4人关注","1年前发布"
"金科天元道砚北B组团3室2厅1厨2卫","139万","12,731元/平","109.19平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106115560636.html","3人关注","1年前发布"
"金科次新小区，看中庭，门口就是公园，业主诚心出售","146万","13,656元/平","106.92平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106115534600.html","1人关注","1年前发布"
"金科品质，中间楼层，看江户型，居住安静","139万","12,753元/平","109平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106114661167.html","33人关注","2年前发布"
"金科品质小区， 绿化好，业主诚心出售","140万","14,737元/平","95平米","3室1厅","高楼层                                     (共32层)","2018年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106114596710.html","2人关注","2年前发布"
"金科次新 精装小三房 视野开阔业主诚心出售","124万","13,011元/平","95.31平米","3室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106114494709.html","8人关注","2年前发布"
"金科次新小区，3房，住家装修，视野开阔，业主诚心卖","129万","13,824元/平","93.32平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106114436112.html","28人关注","2年前发布"
"金科品质大盘，环境优美、精装三房，无抵押","130万","13,931元/平","93.32平米","3室1厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106114383804.html","7人关注","2年前发布"
"金科天元道清水看小区中庭三房  安静住家","145万","13,325元/平","108.82平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106114240333.html","0人关注","2年前发布"
"金科品质清水3房 近轻轨 近公园 带车位业主诚心出售","145万","13,324元/平","108.83平米","3室1厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106113534982.html","52人关注","2年前发布"
"金科品质小区   视野开阔   毫无遮挡","138万","12,907元/平","106.92平米","3室1厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106113390021.html","1人关注","2年前发布"
"阳台朝南，户型方正全屋精装，用材环保，全新未使用过","138万","14,448元/平","95.52平米","3室1厅","中楼层                                     (共32层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源","https://cq.ke.com/ershoufang/106113156758.html","4人关注","2年前发布"
"业主自住 家里保持的很干净 欢迎看房","145万","13,280元/平","109.19平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR房源;随时看房","https://cq.ke.com/ershoufang/106112535933.html","37人关注","2年前发布"
"金科天元道 清水3房 户型方正 房龄新 业主诚心","125万","13,417元/平","93.17平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106111839568.html","4人关注","3年前发布"
"金科天元道精装三房,拎包入住,诚心出售","135万","14,534元/平","92.89平米","3室2厅","低楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106110909234.html","17人关注","3年前发布"
"金科天元道砚北B组团清水看江三房","138万","12,887元/平","107.09平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106110908327.html","8人关注","3年前发布"
"渝北光电园旁 大竹林轻轨站 融创壹号院旁 金科楼盘","139万","14,921元/平","93.16平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106110409393.html","3人关注","3年前发布"
"业主急售 金科品质小区 精装三房 近轻轨 朝中庭安静","135万","14,492元/平","93.16平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修","https://cq.ke.com/ershoufang/106110305882.html","5人关注","3年前发布"
"金科品质小区，精装3房，户型方正采光好","148万","15,933元/平","92.89平米","3室2厅","高楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106109670473.html","190人关注","3年前发布"
"金科天元道研北B组团清水中庭小三房 中间楼层安静","135万","14,534元/平","92.89平米","3室2厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106109445901.html","77人关注","3年前发布"
"金科天元道砚北B组团轻轨房3室2厅1厨2卫","140万","12,845元/平","109平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修","https://cq.ke.com/ershoufang/106108218575.html","7人关注","4年前发布"
"低密度品质小区，金科品质楼盘，共享洋房小区环境。","140万","12,845元/平","109平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106107954083.html","5人关注","4年前发布"
"此房是清水， 中间楼层，户型采光不错","139万","14,895元/平","93.32平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106107669433.html","6人关注","4年前发布"
"一线看江，采光好，视野无遮挡。有一个产权车位","135万","12,607元/平","107.09平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106107200519.html","25人关注","4年前发布"
"金科品质，环境好，户型方正，静等有缘人","150万","14,030元/平","106.92平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106107074237.html","30人关注","4年前发布"
"正规三房，户型方正，楼层采光好。","126万","13,549元/平","93平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106953981.html","24人关注","4年前发布"
"大竹林金科品质楼盘，小区绿化好，住家安静","129万","11,855元/平","108.82平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106945157.html","17人关注","4年前发布"
"金科品质小区，小区绿化好，适合宜居","142万","13,149元/平","108平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;满五年;VR房源;随时看房","https://cq.ke.com/ershoufang/106106938459.html","2人关注","4年前发布"
"金科品质小区，此房是清水， 户型采光不错","140万","12,963元/平","108平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106490947.html","7人关注","4年前发布"
"金科天元道砚北B组团清水三房户型 户型方正","125万","13,395元/平","93.32平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106397060.html","20人关注","4年前发布"
"金科天元道砚北B组团3室109㎡","145万","13,303元/平","109平米","3室2厅","高楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满两年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106199075.html","1人关注","4年前发布"
"金科天元道砚北B组团3室95㎡","122万","12,843元/平","95平米","3室2厅","中楼层                                     (共28层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106180625.html","19人关注","4年前发布"
"金科天元道砚北B组团3室1408.82㎡","140万","12,866元/平","108.82平米","3室2厅","低楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","近地铁;VR看装修;随时看房","https://cq.ke.com/ershoufang/106106070010.html","60人关注","4年前发布"
"户型方正，采光良好，正朝南，品牌开发商","128万","11,953元/平","107.09平米","3室2厅","中楼层                                     (共33层)","2019年","金科天元道砚北B区","重庆渝北","满五年;VR看装修;随时看房","https://cq.ke.com/ershoufang/106105850933.html","73人关注","4年前发布"
"熙溪地 3室1厅 东南 西南","138万","12,616元/平","109.39平米","3室1厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106123676176.html","1人关注","1月前发布"
"金海湾公园畔，江与城龙湖品质，看江两房！视野开阔","138万","14,663元/平","94.12平米","3室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106123448227.html","0人关注","1月前发布"
"大竹林 龙湖品质 精装清新2房 中间楼层 视野看公园","130万","13,699元/平","94.9平米","3室1厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106123435871.html","0人关注","1月前发布"
"精装三房， 业主很诚心卖，视野采光都很不错","128万","13,600元/平","94.12平米","3室2厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","满五年;VR房源","https://cq.ke.com/ershoufang/106123025226.html","2人关注","2月前发布"
"龙湖江与城江城时光品质精装房！","140万","15,238元/平","91.88平米","3室2厅","中楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106122743117.html","0人关注","3月前发布"
"龙湖品质洋房和高层小区，环境好，住家安静舒适","150万","13,762元/平","109平米","3室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106122664999.html","0人关注","3月前发布"
"龙湖精装小三房，住家安静，小区环境好","145万","15,492元/平","93.6平米","3室2厅","低楼层                                     (共33层)","2013年","熙溪地","重庆渝北","VR房源;随时看房","https://cq.ke.com/ershoufang/106122491515.html","0人关注","4月前发布"
"看公园，看江，业主诚心出售，带车位","125万","13,737元/平","91平米","3室2厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106122004170.html","2人关注","5月前发布"
"此房户型很好，三房双卫，，次卧带阳台 .","145万","15,761元/平","92平米","3室1厅","低楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106121922982.html","0人关注","5月前发布"
"龙湖三房双卫户型，住家安静，毛坯房","143万","13,120元/平","109平米","3室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106121833965.html","2人关注","5月前发布"
"户型好，实得面积大，高楼层，采光视野好","150万","16,484元/平","91平米","3室2厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR房源","https://cq.ke.com/ershoufang/106121471812.html","0人关注","7月前发布"
"业主自住 视野好 诚心出售 住家装修可以谈","139万","12,753元/平","109平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106121264389.html","17人关注","7月前发布"
"龙湖品质洋房，内圈住家很安静，楼层好采光好，绿化好","135万","12,273元/平","110平米","3室2厅","中楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修;随时看房","https://cq.ke.com/ershoufang/106120985554.html","14人关注","8月前发布"
"龙湖品质精装三房，拎包入住，中间楼层，采光好看公园","132万","12,111元/平","109平米","3室2厅","高楼层                                     (共33层)","2012年","熙溪地","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106120983550.html","9人关注","8月前发布"
"龙湖品质精装三房，拎包入住，中间楼层，采光好看公园","148万","13,512元/平","109.54平米","3室2厅","中楼层                                     (共33层)","2013年","熙溪地","重庆渝北","满五年;VR看装修","https://cq.ke.com/ershoufang/106120886782.html","7人关注","8月前发布"
"龙湖三房双卫户型，中楼层，住家安静，毛坯房","150万","13,762元/平","109平米","3室2厅","低楼层                                     (共33层)","2012年","熙溪地","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106120377143.html","5人关注","10月前发布"
"带车位，业主自住装修，公园门口，位置安静视野无遮挡","125万","13,737元/平","91平米","3室2厅","高楼层                                     (共32层)","2015年","龙湖江与城江城时光","重庆渝北","VR看装修","https://cq.ke.com/ershoufang/106119874968.html","10人关注","11月前发布"
